Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
F1,0805L050WR,1
R5,301010005,1
"R1,R2,R10,R11",301010101,4
"R3,R4,R6",301010293,3
C7,302010148,1
"C1,C2,C11",302010165,3
"C5,C6",302010179,2
J5,61300611121,1
C12,885012005012,1
"J3,J4",BM06B-GHS-TBT(LF)(SN)(N),2
U1,CAT24C32WI-GT3 ,1
"C3,C4",CC0402JRNPO9BN160,2
C10,CC0402ZRY5V6BB105,1
C8,CL31A106KBHNNNE,1
"R12,R13",CRCW0402100KFKED,2
Q2,DMG2305UX-7,1
Q1,DMMT5401-7-F,1
Y1,ECS-147.4-12-33-AGN-TR,1
"R7,R15,R16,R17,R18,R19",ERJ-3EKF1000V,6
R14,ERJ-6ENF2432V,1
C13,GRM21BR71A105KA01L,1
U5,LMR33630ADDAR,1
U2,MCP3008T-I/SL,1
U6,NC7SZ00P5X,1
SW1,OS102011MA1QN1,1
J1,PPPC202LFBN-RC,1
"R8,R9",RR0510P-102-D,2
D1,RSX301LAM30TR,1
J6,S2B-XH-A(LF)(SN),1
U3,"SC16IS752IPW,112",1
D3,SMAJ30A,1
L1,SRR1210-120M,1
U4,TPS70933DBVR,1
C9,UMK212BJ224KGHT,1
"H1,H2,H3,H4,J2,J7",~,6
