Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
L1,#B966AS-100M=P3,1
J3,1979,1
R24,301010005,1
"R6,R8,R10,R11",301010101,4
"R18,R23",301010293,2
"C9,C10,C11",302010138,3
C6,302010148,1
"C5,C17",302010179,2
D1,304010007,1
J5,68016-403HLF,1
U4,AP2204RA-3.3TRG1,1
C15,CC0402JRNPO9BN300,1
C14,CC0402KRX7R9BB152,1
C13,CC0402KRX7R9BB822,1
Q1,DMG2305UX-7,1
Q2,DMMT5401-7-F,1
C12,GRM32ER61A107ME20L,1
C16,GRT31CR61H106ME01L,1
U5,NC7SZ00P5X,1
"SW1,SW2",OS102011MA1QN1,2
"D2,D3",PDS560-13,2
J100,PPTC091LFBN-RC,1
J101,PPTC092LFBN-RC,1
R16,RC0402FR-0710K2L,1
R17,RC0402FR-0736K5L,1
R15,RC0603FR-071K96L,1
J6,SM06B-GHS-TB(LF)(SN),1
U8,TPS22810DBVR,1
U7,TPS54331DR,1
J8,TSW-104-08-F-T-RA,1
"H1,H2,H3,H4,H5,J11,J12,J13,J20,J102,J103,U3,U6",~,13
